	job_id	title	location	department	salary_range	company_profile	description	requirements	benefits	telecommuting	has_company_logo	has_questions	employment_type	required_experience	required_education	industry	function	fraudulent
5798	17777	Administrative Assistant 	US, TX, Houston			Founded in 1993, our group has, in a few short years, earned an excellent reputation for performance &amp; consistent, repeatable quality.Our group is committed to reinvesting our profits to grow our product lines and to make Hascor the most efficient, responsive, customer oriented company of its kind anywhere. We have a clear agenda and belief: If we provide quality products and services to the customers we sell to, they will find reasons to buy from us again. We strive every day to make that our reality.Our strategy is to supply any customer at any location worldwide no matter the size of its requirement. Our motto is that we supply any customer from 1 kg up to 100000 kg. any time, any place.Our group has a worldwide presence through our company offices as well as our expansive agent network.We produce our materials under the ISO 9001-2008 certification approved by the quality department of Perry Johnson.We constantly strive to innovate under every situation and constraint, to offer our customers innovative, “tailor made” solutions. We welcome your inquiries and challenge to meet all your raw material needs. 	Duties / Responsibilities:- Data entry, general filing - Type documents and correspondence - Assist ordering materials / parts - Assist with LogisticsMonday through Friday 8:30am -6:00pm	- Flexible Schedule- Minimum 2 years’ experience- Knowledge of excel, word and PowerPoint- Strong communication skills- A can do mentality- Common sense- Experience in traffic-logistics-Team Player- Data entry, general filing- Able to think outside the box- Able to communicate in Spanish- Long term view- References 	Compensation: 12.00 per hour as starting pay + performance bonus	0	1	1	Full-time	Entry level	Unspecified	Media Production	Administrative	1
5806	17664	Cash In Hand Job (Urgent Staff Required)	US, CA, Los Angeles				Cash In Hand Job (Urgent Staff Required)No Experience Required And Never Any Fees.Work Anytime 1 To 2 Hrs Daily In Free Time.Earn Easily $400 To $500 Extra Per Day.Totally Free To Join &amp; Suitable For All.Take Action &amp; Get Started Today.Please contact us.			0	0	0	Part-time					1
5810	8837	Maintenance Specialist	US, TX, ARLINGTON	MAINT	23000-28000	As the industry’s largest supply contracting company, Novation serves the purchasing needs of more than 65,000 VHA, UHC and Provista member organizations and their affilliates. Novation delivers unmatched supply savings and value through its sourcing services, as well as information and data services. Through its affiliation with VHA, UHC and Provista, Novation represents the largest purchasing volume in the industry more than $40 billion in annual purchases.To help our alliance members meet the needs of their communities, our mission is to deliver to them unmatched savings and value. One of the ways we deliver on our mission is by facilitating the introduction of products and services that are designed to help members drive sustainable results, improve quality and reduce costs.	ResponsibilitiesResponsibilities:Responsibilities:- Shipping and Receiving dock processing- Internal mail sorting and delivery- Special meeting set-up and tear down- Will be required to work in multiple facilities when needed- Plan and organize work for team of associates- Will perform other tasks as needed- Motivate associates to improve performance by developing and implementing innovative recognition ideas- Coach, train and develop associates- Manage service contracts and escalate concerns- Assist with writing and administering work reviews- Communicates progress of associates to supervisor and manager- Will perform other tasks as needed- Work with vendors on various initiatives and maintain an ongoing relationship when needed	Minimum Qualifications:- Effective computer skills (Word, Excel, and Outlook)- Proven ability to work with all levels of management- Effective communication skills (oral and written)- Ability to work independently- Experience with demonstrated leadership abilities and direct reports- Ability to balance multiple responsibilities simultaneously- Good team building skills- Basic analytical and mathematical skills- Strong decision making skills- Proven ability to manage and develop timelines	Compensation and BenefitsNOVATION  offers a competitive salary, a comprehensive selection of benefit options including 401(k).Conditions of EmploymentAll job offers are contingent upon succesful completion of credit and background checks.	0	1	1	Full-time	Entry level	High School or equivalent	Mechanical or Industrial Engineering	Engineering	1
5811	17577	 Payroll Data Entry Clerk Position - Earn $100-$200 Daily 	US, GA, Abbeville 	Clerical	250000-500000		This job requires you to have the ability to operate keyboard or other data entry device to enter data into computer or onto magnetic tape or disk for subsequent entry. Inputs alphabetic and numeric information from credit card applications onto an automated credit processing system, other clerical duties as required.Follows set procedures and meets specific throughput standards. Able to work under deadline pressure with minimum supervision, read large dollar figures for long periods of time. 	We are seeking only honest, self-motivated people with a desire to work in the typing and data entry fieldThe preferred applicants should be at least 18 years old with Internet access. Little experience is needed.Minimum Qualifications:•             High School diploma or GED.•             1 year of clerical/data entry experience in a fast-paced environment.•             Demonstrate attention to detail with excellent data entry, communication (interpersonal, telephone) and organization skills.•             Ability to prioritize projects within a fast-paced, deadline-driven environment using tact and discretion.•             Basic database usage.•             Team player with good communication, data entry, organization and follow-through skills.•             Ability to write and type grammatically correct database entries in English.•             Intermediate Microsoft Word and Excel skills.•             Experience using a corporate email system.•             Basic Microsoft PowerPoint. 	This position is high paying and you will be paid WEEKLY via direct deposit, check, or company provided debit card. Candidate will be paid $50-$70 Per hour commensurate with experience and education.  APPLY NOW AT #EMAIL_c9b5d8a60f3d80be13dd02ffe5d212c047b92ba679c296dfae7c102952fbb534# AND GET STARTED TODAY!	0	0	0	Full-time	Not Applicable	High School or equivalent	Staffing and Recruiting	Administrative	1
5838	17618	Office Assistant III	US, FL, jacksonville		2000-3000		Essential DutiesGreets callers and visitors, directs them to the proper source and answers questions; sometimes deals with difficult situationsOpens, sorts, distributes mail, correspondence, copies or other materialsProofreads figures, forms, letters and/or reports for accuracyAttends work dailyIs engaged and on taskPerforms related work as assigned	Minimum QualificationsA high school graduate or equivalent (business school or some college preferred).  Leadership qualities and communication skills are necessary.  Ability to use computers in a broad range of applications such as but not limited to the following: Word Processing;Spreadsheet Data Entry and Spreadsheet Design;Database Maintenance;Internet Search Engines.	All candidates are eligible for benefits including but not limited to: Medical, Dental, Vision, and 401k.	0	0	0	Full-time	Mid-Senior level	Bachelor's Degree	Telecommunications	Administrative	1
5909	17813	Hiring for SAP Supply Chain Manager	US, WA, Bellevue		130000-145000		Position :Manager, Business Solutions-SAP/Supply ChainJob Type : Full TimeJob Location : United States-Washington–BellevueUs work status required : EAD ,Green Card,US Citizens Job Requirements:Minimum of 6+ years in an Information Technology leadership role with the following:Experience in successfully developing and executing strategy for leading and operating SAP ERP systems and other Supply Chain systems.Track record of success in managing Supply Chain solutions in retail and/or wireless services markets.Experience in managing relationships with business team executives at Sr. Manager, Director, VP and SVP level.Experience in developing and maintaining architecture for SAP and ERP systems in alignment with business strategy.Responsibilities Execute and contribute to strategic plans and ongoing operating plans.Establish partnerships with Supply Chain business teams and manage senior-level relationships.Establish partnerships with other EIT teams and manage cross team relationships and enhance partnership within EIT.Work with business teams and other EIT teams to align on business priorities and deliver against these priorities.Develop and maintain solutions architecture for SAP, Ariba, OpenText and other applications related to Procure-To-Pay and Supply Chain solutions.  Refactor and extend existing applications and supporting processes to incorporate SAP and industry best practices and to align with strategic plan.Work with IT Governance to align development and operational activities within SDLC and support framework.Manage an EIT Procure-To-Pay team, identify, attract and retain key skills and capabilities for this team.			0	0	0	Full-time	Mid-Senior level		Information Technology and Services	Information Technology	1
5915	6558	Frame Stylist / Optician	US, OK, Newcastle				If you enjoy sales and fashion, consider this position as a full-time Optical Frame Stylist in a private optometry practice in Newcastle, OK.  Experience is preferred, however we will consider an individual with a strong retail sales and/or fashion-related background. To apply for this position, please submit your application via this link: #URL_dc6a4e8df8c88cf7bb611c27fadf835b2ea6d40cec837463b39bb6ba9bca8852#?i=MTkz and select the Frame Stylist (Newcastle, Oklahoma) position from the Job Opening drop-down menu.We are an equal opportunity employer.	Responsibilities include educating and assisting patients in selecting their glasses frames and lenses, taking patient glasses related measurements, presenting and dispensing glasses, maintaining glasses inventory, and communicating with doctors, staff, and patients.	We offer a team-oriented work environment with benefits including: medical, vision, paid training, paid holidays, paid time off. 	0	0	0	Full-time			Health, Wellness and Fitness	Sales	1
5973	17743	Data Entry Admin/Clerical Positions - Work From Home	US, NE, Omaha				ACCEPTING ONLINE APPLICATIONS ONLYClick Here To Apply This is a Full Time Temporary Position Lasting for 2 yearsDescriptionValidate and review legal contractual agreements for customers Input contract into contract databases All contracts completed &amp; reviewed within per-determined service level agreement Professional e-mail interaction with customers Scanning and uploading of documents QualificationsHigh School Diploma or Equivalent Professional Communication Skills via e-mail interactionDedicated to the needs of the business Project management skills to assist in facilitating multiple contract rejects Detail oriented Able to multi-taskAbility to work with time sensitive documents Must be able to work independently but able to perform in a team environment when needed. Fast and accurate typist ACCEPTING ONLINE APPLICATIONS ONLYClick Here To Apply			0	0	0						1
5987	2445	Urgent Requirement For The Position Technical Lead - Rhomobile Technical Mobility Lead Developer	US, CA, 		55-65		1.    Technical Lead - Rhomobile Technical Mobility Lead Developer  NOTES-  In case if Rhomobile is difficult to find, Please find people with expertise in Android development with, DOJO, CSS Location: San Francisco/ San Ramon, CADuration: 1 year Required Competencies: Should have around 6-10 yrs of IT Experience- out of which minimum 2yrs as Tech Lead of Mobile ProjectsExperience in RhoMobile Platform for atleast 6 MonthsShould be experienced in Cross Platform Mobile apps.Proficiency in atleast one Native Platform – iOS or AndroidHands-on Experience essentialShould be able to lead a team and guide them in Technical challengesShould be able to estimate and plan for the various activitiesIntegration Experience with Backend Systems Essential. Out of this , SAP Integration Experience is desirableESRI ArcGIS Knowledge Essential  Thanks and Regards J.SandeepTechnical RecruiterTekWissen LLC | W: #PHONE_b464fe6050e48f0c36d00501265378e9581d5d65c73f8e39865543c69aaab557# | Desk: #PHONE_46ed5da44d683bbb700c54f51cd225fc80203b64e1c674f7e6d9f826a0223f31# Ext 299 | Fax #PHONE_c92713f1c7155e946cc5b07c854ce554f3c95f79f2cbd98500e3cfa2db4ba406#|| #EMAIL_5f904f421f564976259f740a5c3ee9868cab5264ce252cf686be79da28bffd45# |  321 S Main street Suite #300 Ann Arbor MI – 48104| #URL_3b7a90492e728246f2b56db07b079519d22b68faf5d8bbbd4e11a827db01e3ea#	Requirement / JD: Drive the mobile app development work.Gather requirements from the client’s product management teamSuggesting the right Architecture to be adoptedTechnical Design of the AppCo-ordinate with the offshore team and get the work done from offshoreShould be able to Architect, design, code and deploy the applications  		0	0	1	Contract	Mid-Senior level	Bachelor's Degree	Information Technology and Services	Information Technology	1
5990	3275	Urgent Requirement : Senior Exchange & Active Directory Systems Administrator for Qatar.	QA, , 	Information Technology 			Greetings from VAM SYSTEMS…..VAM SYSTEMS is a Business Consulting, IT Solutions and Services company with operations in UAE, Qatar, Bahrain, USA, Australia, Singapore &amp; India. We offers a comprehensive list of services in the field of IT infrastructure management, Cloud services, IT Consulting Services, Banking, Management Resources, Information Technology Development, Telecom, Aviation, Retail Management &amp; eGovernment offerings.VAM SYSTEMS is currently looking for Senior Exchange &amp; Active Directory Systems Administrator for our Qatar operations.Terms and conditions: Joining time frame: 2 weeks (maximum 1 month).The selected candidates shall join VAM SYSTEMS – Qatar and shall be deputed to one of the leading organizations in Qatar.Should you be interested in this opportunity, please send your latest resume in MS Word format at the earliest at #EMAIL_b08cf5e4101b4b7b7594fe3081f94f7f9a0f2d6192fb5d4a1a72ecf03c816e83#  or call us +91 #PHONE_df058aa8cbf405b99c6fc6459e7085be12bce0e56bcafe7d52281b99685a4a0f#.           	Skill Set required:6 to 10 years experience of in Active Directory and Exchange Administration in anenterprise environment.Ability to setup and configure AD and Exchange with industry standard practices.Thorough Knowledge with the migration paths and methods of AD and Exchange fromprevious version to latest versions.Good Skill in maintaining day-to-day System Admin activities of AD and ExchangeStrong Troubleshoot Skills in AD and ExchangeExcellent documentation &amp; communication skills.Thorough knowledge of AD schema and Exchange infrastructureAbility to fine tune AD and Exchange for optimal performance from Application level.Ability to work under pressureAbility to work closely with the other System Administrators.Good spirit to work as a Team and follow instructions from supervisorPerforms other related duties as needed upon request by the immediate supervisor.Familiar with the IT change management process in a managed domainVery Good Experience with Microsoft Exchange 2010 Server and Microsoft Windows 2008ServerRelevant Microsoft certification: MCSA or MCITP or MCSE (with relevant Windows 2008R2 experience)Assign policies, and apply critical updates to organization by administering information andsettings in the central database.Perform the daily operational tasks that are necessary to provide a stable and robustExchange environment, including monitoring, proactive maintenance, and problemresolution.Tier 2 &amp; 3 troubleshooting support of Exchange issues, investigate Helpdesk escalation callsand find optimum solutionsPerform scripting administration tasks and reporting using PowerShell or other scriptingtechnology, developing scripts for automating processes within the environment.Take ownership of typical messaging issues and work to resolution and root cause identification.Create and maintain appropriate documentation on the messaging environment.Maintain &amp; perform periodic testing of disaster recovery procedures for the MS Exchange2010 environment and AD.Maintain and administer third party applications including, but not limited to TMG/ISA forExchangeAdhere to enforce change management and compliance processes.Understand the business requirements and identify potential messaging solutions.Assess and perform systems utilization and reports to assist in troubleshooting andperformance tuning.Ensure the integrity and security of all MS Exchange mailboxesPerform periodic performance reporting to support capacity planning.General Network skills (Routing, DNS)Expertise in anti-spam &amp; anti-virus, backup and general system administration		0	0	1						1
6042	9832	Plant Operator	US, CA, Bakersfield	Oil & Energy	55000-68000	Macpherson Oil and Refined Resources have partnered up in an effort to streamline the hiring process and provide a more efficient and effective recruitng model.  Our focus is to help develop and achieve your career goals while makeing a solid geographical, cultural and professional fiit when leveraging your career into your new and exciting professional venture!  Please keep all communications directed towards the Human Resources department within Refined Resources (#URL_80d75e0d07ca8b108539318a0443bfe5d1ff472afa0c4540b77079c5d5f31eee#) #EMAIL_0b13a2cfd4718ce252c09b2353d692a73bd32552e922c5db6cad5fb7e9a2c6c3#Darren Lawson | VP of Recruiting | Refined  Resources | #EMAIL_395225df8eed70288fc67310349d63d49d5f2ca6bc14dbb5dcbf9296069ad88c# | #PHONE_70128aad0c118273b0c2198a08d528591b932924e165b6a8d1272a6f9e2763d1#	 Qualified candidates are encouraged to apply directly to this job posting.  Direct email and phone calls are not being considered.  Thank you for your cooperation.  Please no recruiters. JOB DESCRIPTIONWe are adding a Plant Operator to our client's Bakersfield Operational team.  Primary job duties include providing operational, technical, troubleshooting, and surveillance support for all producing oil wells, oil treating, , water softening/disposal, steam generation facilities and CVR systems for oil field operations located near Bakersfield CaliforniaA typical day on the job will most likely entail the following duties:Dehydrate produced oil too sub 3% BS&amp;W. Identifying production process problems and taking safe corrective actions in order to meet business targets and HSE goals. Assist in the preparation for repair, installation and maintenance of typical oilfield production. Create job plans and execute jobs safely and on time. Experience in operation/trouble-shooting of typical oilfield production equipment and systems. Knowledge of safety procedures and practices for working in a hydrocarbon environment. Strong communication skills with the ability to accomplish assigned tasks within a reasonable time frame. Effective interpersonal and strong team work skills. Manage maintenance crews and contractors when building, fixing equipment on location. Noticing problems or potential problems, diagnosing and developing plan to fix problem. Diverting flow and isolating lines for equipment tie in or maintenance. Enforcing safety policies. Writing permits to allow safe work. Maintain steam and water flood targets. Softening and cleaning produced water before sending to steam generators. Functional computer and software skills to include MS Office Suite (Especially Excel) and SCADA. Collecting plant readings and producing daily/weekly reports.Standard Duties/Responsibilities:•Operate oil treating, water treating/disposal, steam generation and distribution, vapor recovery facilities.•Operate oil wells, AWT and well testing tanks, vapor recovery system.•Monitor safe operations utilizing the SCADA systems and onsite surveillance. This includes taking readings, testing fluids and piping and valve alignment reviews and adjustments.•Insure compliance with all company and government safety, environmental and health rules and regulations. 	Required Qualifications:•2-5 years Oil treating, water plant and Steam Generator experience, preferred.•Good understanding of oilfield production and process equipment.•Good communication, organizational, and interpersonal skills.•HS Diploma or equivalent or greater.  Any relevant, formal training or certifications a plus.	What is being offered: World renowned leadershipOpportunity for advancement (quickly as the company is undergoing significant growth)Annual raises and performance reviews Annual base increase, percentage above cost of living increaseFull Benefits Package Retirement Fund matched 100% by the company Great culture and working environment Significant bonus structure Qualified candidates are encouraged to apply directly to this job posting.  Direct email and phone calls are not being considered.  Thank you for your cooperation.  Please no recruiters.                                                                                        	0	1	1	Full-time	Mid-Senior level	High School or equivalent	Oil & Energy	Other	1
6060	17706	Account Sales Managers $80-$130,000/yr	US, NY, Syracuse			We have aggressive growth plans in place for the coming years. We provide a much needed service in facilitating the growth of small and medium size business with innovative financing products to their clients.We, at Oak Tree Financing, commit our energies, intellect and knowledge to helping small and medium size business owners and entrepreneurs with extraordinary financing solutions to clients. We believe in providing the highest possible level of service and delivering superior results. We are committed to their financial well-being. With 67% of the population having No Credit or Bad Credit our financing products have helped business owners increase their sales on average by 30%.	We provide No Credit Check Financing to customers of Small and Medium size Businesses and can help 90% of the industries from Auto Mechanics to Dentists and Lawyers.We are seeking skilled Account Managers to grow with us and help us achieve our goals in this new and exciting industry.This is designed as a long-term position for an entrepreneurial individual to really build their book of business, along with their income.Our people enjoy a flexible work environment. High earnings with great incentives like corporate retreats and quick advancement opportunities.	Experience and Skills  Required- Minimum of 3 years of sales experience- Ability to work in a home office environment- Exceptional speaking, writing, and negotiation skills- You must be a motivated self starter and instil that others- College degree	We Provide- Complete online training and office support- Flexible working environment- An exciting and lucrative opportunity for those with a proven results background- Rapid advancement for those highly motivated- Average yearly income of $80-$130,000 based on our straight commission compensation model	0	1	0	Full-time	Associate	High School or equivalent	Financial Services	Business Development	1
6069	5507	Home Based Payroll Data Entry Clerk Position - Earn $100-$200 Daily 	US, GA, Abbeville  				We are a full-service marketing and staffing firm, serving companies ranging from Fortune 100 to new start-up organizations. We work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates.Are you looking for a Work from Home Opportunity where you can earn up to $2500 and more per week? Our Online Service Representative position would be perfect for you!- Set your own hours - Make money every time you decide to work - Work remotely from home - Get paid weekly - If you have a computer with internet, this is for you	RequirementsAll you need is access to the Internet and you can participate. Computer with Internet access, valid email address, good typing skills   	This is an entry level position and we offer full online training. You do NOT need any special skills to get started.Earn as much as you can doing data entry.  Complete Training provided before you start working and it’s easy to start!  ________________________________________Don’t let this opportunity pass you by.POSITIONS ARE STILL AVAILABLE - GET STARTED RIGHT NOWIf you fit the above description and meet the requirements, please apply stating your locationApply at: #EMAIL_3720fb437cf9ea0fba89dddcb596c3afd772be237f383163a3d18e00e4c65595#	0	0	0						1
6098	11566	Information Security Manager	US, CA, San Mateo	Information Technology		Bright Edge and Aptitude Staffing Solutions have partnered up in an effort to streamline the hiring process and provide a more efficient and effective recruitng model.  Our focus is to help develop and achieve your career goals while makeing a solid geographical, cultural and professional fiit when leveraging your career into your new and exciting professional venture!BrightEdge today is over 180 employees strong, and continuously growing. BrightEdge has over 8400 brands and 650 direct customers, and has lead the market in SEO innovation. The new headquarters reflect BrightEdge's growth and the maturity of the company, with a sleek and modern space in the heart of Silicon Valley.Stay tuned, as BrightEdge's story is only beginning. 	This leading-edge company drives over $3 billion in revenue from web sites, search engines, and social networks for more than 8,400 of the world’s top brands.  As a Information Security Manager you will work to develop and deliver information security policy and standards, architecture and systems, and leading practice processes to ensure information system security across the enterprise. A successful candidate is an experienced Information Security Manager capable rolling out a prioritized information security program and maintaining the effectiveness of the organization’s ISMS. Responsibilities: Job Responsibilities:Partner with corporate and IT functions to assist in the adoption of information security policies and practices, and monitor for compliance. Maintain and enforce organization’s Information Security policies and Technical Security standards. Deliver targeted Information Security Risk Assessments for third-party vendors/customers/prospects. Interface with all business units to educate and coordinate Information Security Integration into existing and future offerings. Proactively identify security threats to BE's business and information assets, and develop mitigation strategies. Lead external audit certifications - BSI ISO 27001. Lead security-related projects, such as IP-based restrictions, MBS, policy building, VPN, document retention policy, DRP/BIA, etc.	Required Skills and Experience: Bachelor’s degree in Computer Science, Information Systems, other related field; or equivalent work experience. Certifications are preferred: Certified Information Systems Security Professional (CISSP) from ISC2, Cisco Certified Network Associate (CCNA), Certified Ethical Hacker (CEH) from EC-Council, Certified Information Systems Auditor (CISA) from ISACA, Global Information Assurance Certification (GIAC) from SANS. Minimum of five years of information technology and/or information security experience in a corporate environment. Experience with or exposure to regulatory and industry compliance frameworks and audits (e.g. ISO27001, PCI, HIPAA, SSAE16, FISMA).  		0	1	1	Full-time	Mid-Senior level	Bachelor's Degree	Computer Software	Information Technology	1
6100	17603	Network Marketing	US, NH, 		7200-1380000		Are you looking to make anywhere from 600-115,000$ a month? Are you looking to be paid to take vacations? Are you tired of working a 9-5 with no ability to grow in your field. Do you want to be your own boss and set your own schedule of when you work? If you answer yes to any of these than we have the perfect opportunity for you. Our company is based on 3 principles 1.Saving Money 2.Making Money 3.Managing Money. We offer financial soulutions to help you live financially free while making money showing others. We have over 5,800 national brand retailers where we recieve discounts.	An ambition to succeed, A desire to be the best at our field and not be discourage when people turn you down. If you have these qualities than you are perfect for this business	Residual Income, Travel dollars, Car Dollars, the ability to rise in pay grade rapidly	0	0	0	Other	Not Applicable	Unspecified	Marketing and Advertising	Marketing	1
6119	6926	Military Outreach Consultant (Telecommute)	US, , 			Anthony Warren is a Marketing and Advertising consultant.  After completing one enlistment as a U.S. Marine at Quantico, VA, where he provided administrative support to the Lawyer for the Commandant of the Marine Corps, he has hired and trained over 1000 sales people managers and CEO's to increase their effectiveness and monetize thier efforts.  His early skill as a door to door salesman has evolved from concert promoter, Real estate investor, Fundraiser and now with the internet to a supply and demand tour guide. His zest for finding information and his ability to sell ideas has generated affiliations and clients from small business to Fortune 200.  Brainstorm and network with this evangelical marketing Pro.	Anthony Warren Consultant hires Military acitve duty and Veterans only.  We are presently hiring 10 Management consultant trainees to assist in the promotion of online seminars and training workshops.  We pay $500 to $1000 a week guarantee + commisssions.  Certification class is a prerequisite to employment.  Telecommute means you have a virtual desk from your computer and are paid via company debit card.  Our staff hires from E-3 to O-7.  Military experience mandatory.  Complete online interview process includes personal interview with Mr. Warren.  This program assists servicemember in utilizing Military Benefits.  Full and Part Time positions available.  After applying for this position Applicants are encouraged to connect with us on LinkedIn to become familiar with our company mission at #URL_7d754b0ccc8bac5945941389e9619377e37eae169f141fea9684ae0092c1cc02#	You must have served in the Military and have computer and internet access.  Smart phone or Tablet is acceptable.Must be willing to enroll in certification class.	HealthLifeBusiness Start upProfit Sharing	1	1	1						1
6141	7945	Sales Representative	US, CO, Denver	Sales	30000-40000	Since 2005, American Secured Benefits, a leading financial planning and insurance brokerage company, has helped thousands of clients secure their financial futures.Headquartered in Denver, Colorado, American Secured Benefits is an independent financial agency representing more than 20 insurance and investment companies.American Secured Benefits operates in more than a dozen states, and is a one-stop shop for a wide range of financial products, and is an industry expert in Protection Insurance.First located in Georgia, American Secured Benefits relocated to Denver, Colorado in 2012, where it continued to grow its network of agents and brokers throughout the country, as well as, add dozens of products and insurance carriers to its repertoire. 	Benefits company looking to hire several people to add to our team of Sales Representatives. This is a virtual position and all candidates must be comfortable working from their homes.	High School Diploma or EquivalentGood phone voiceBasic Computer Skills	Weekly payBonuses	1	1	0	Full-time	Entry level	High School or equivalent	Financial Services	Sales	1
6144	9089	Mobile Developer-Back End	US, WA, Seattle	Information Technology		Climate Corporation and Aptitude Staffing Solutions have partnered up in an effort to streamline the hiring process and provide a more efficient and effective recruitng model.  Our focus is to help develop and achieve your career goals while makeing a solid geographical, cultural and professional fiit when leveraging your career into your new and exciting professional venture!	Managing over 200 TB of data, including 34 trillion+ weather simulation data points, 150 billion soil type observations, and more than   3 million daily weather measurements, we are one of the largest users of Amazon Web Services.Today we are focused on helping farmers protect and increase their profits in the face of increasingly extreme weather.  At the heart of the company is our unique technology platform, which encompasses our core competencies across weather monitoring, agronomic modeling, and weather simulation, and accounts for over 200 TB of data, including 34 trillion+ weather simulation data points, 150 billion soil type observations, and more than 3 million daily weather measurements.  This platform powers the company’s portfolio of technology-based products and services, which are revolutionizing agricultural risk management and farm management. We are leaving a mark on the world in our DNA; we want to make a lasting and meaningful real-world impact.  We relish big problems because they are the most interesting to tackle, the most rewarding, and typically the most valuable to solve.  We also thrive on finding the possible in the impossible.If you are the best at what you do, you like solving interesting problems, and you are looking for like-minded people dedicated to having a major impact on the world, we are eager to talk with you.Mobile Developer - Back EndWe are looking for experienced Ruby developers to join our engineering team, focusing on building back end support for the development of mobile applications for growers.What You Will Do:Write highly scalable and robust RESTful APIs to empower our mobile applications.Work closely with the iOS and Android team to ensure seamless integration with the back end.Opportunity to learn new technologies and frameworks.  	What You Offer:Experience in writing clean and idiomatic Ruby code.Familiarity with the OOP and design patterns.A passion for clean and testable codeDetail orientation and strong collaboration skillsFamiliarity with CS fundamentals - a BS or MS in CS or equivalentWillingness to rapidly iterate and build out our application suite Bonus Points:Past experience with Test Driven or Behavior Driven Development.Some significant open source contribution.Past experience with JRuby, EventMachine, Ruby Fibres, Sinatra. 	What We Offer:Our team is composed of some of the most brilliant interdisciplinary minds in the industry. The environment is extremely engaging and fast-paced, with dozens of specialties coming together to provide the best possible product and experience for our customers.Competitive salary, excellent benefits, and some of the best perks in the industry, including:We provide meals and a large assortment of snacks, drinks, fruits, coffees, and teas to help you get through the day.We let you explore personally compelling topics by occasionally taking time to work on independent projects and contributing the results back to the open source community. Company sponsored outings, including go-kart races, kayaking, holiday yacht parties, and sporting events, etc.We sponsor hackathons, meetup groups, networking events, tech-talks, and conference trips. If you want to get involved in the tech community, we'll support your efforts. We encourage all employees to better understand our customers by getting out of the office and hearing firsthand from the agents and farmers our products serve.Energetic idea-driven work environment with an exciting culture.Exciting world-changing opportunity - we are solving problems that have a massive impact on the world!A driven, talented team that aims to make a large-scale impact through an innovative technology platform. 	0	1	0	Full-time	Mid-Senior level	Bachelor's Degree	Information Technology and Services	Information Technology	1
6145	860	Executive/Head Chef	MY, , 		65000-80000	Le Meridien is situated in the heart of kuala lumpur's tourist centre. We provide and exciting and entertaining experience for people who are looking for a fresh and exotic challenge. Our restaurants offer one of the best cuisine made by wonderful and passion filled individuals. Come and experience true luxury with us and be changed forever.	Responsible for all food production including that used for restaurants, banquet functions and other outlets. Develop menus, food purchase specifications and recipes. Supervise staff. Develop and monitorfood and labor budget for the department. Maintain highest professional food quality and sanitation standards. Duties &amp; Responsibilities:    * Plans menus for all food outlets in the Hotel.    * Schedules and coordinates the work of chefs, cooks and other kitchen employees to assure that food preparationis economical and technically correct and within budgeted labor cost goals.    * Approves the requisition of products and other necessary food supplies.    * Ensures that high standards of sanitation, cleanliness and safety aremaintained throughout all kitchen areas at all times.    * Establishes controls to minimize food and supply waste and theft.    * Safeguards all food preparation employees by implementing training to increase their knowledge about safety, sanitation and accident preventionprinciples.    * Develops standard recipes and techniques for food preparation and presentation which help to assure consistently high quality and to minimize food costs; exercises portion control for all items served and assists in establishing menu selling prices.    * Prepares necessary data for applicable parts of the budget; projects annual food, labor and other costs and monitors actual financial results; takes corrective action as necessary to help assure that financial goals are met.    * Attends food and beverage staff and management meetings.    * Consults with the Food &amp; Beverage Director about food production aspects of special events being planned.    * Cooks or directly supervises the cooking of items that require skillfulpreparation.    * Ensures proper staffing for maximum productivity and high standards of quality; controls food and payroll costs to achieve maximum profitability.    * Evaluates food products to assure that quality standards are consistently attained.    * Interacts with food and beverage ma nagement to assure that food production consistently exceeds the expectations of members and guests.    * In conjunction with F&amp;B management team, assist in maintaining a high level of service principles in accordance with established standards. 	Skills and Specifications:    * Must have a passion and love for food    * Excellent communication skills both written and oral    * Public relations skills    * Excellent management and organizational skills    * Works well under pressure    * Good attention to detailExperience:Previous experience with control food and labor cost, demonstration cooking, menu development, and pricing and development of culinary team preferred. Premise and liability accountability and contract-managed service experience is desirable.Education:The ideal candidates will possess a bachelor's degree or related culinary degree with four or more years of industry and culinary management experience. 		0	1	0	Contract	Executive		Hospitality		1
